x,y,ux,uy
0,0,-7.98187e-07,-9.13241e-07
1,0,-7.31478e-07,-1.85652e-06
2,0,4.16775e-07,-1.76071e-06
3,0,1.58134e-06,-1.80606e-06
4,0,2.56073e-06,-1.65484e-06
5,0,3.22281e-06,-1.56824e-06
6,0,3.39957e-06,-1.33909e-06
7,0,2.98661e-06,-1.15282e-06
8,0,1.97437e-06,-9.31206e-07
9,0,3.42665e-07,-7.22812e-07
10,0,-1.91373e-06,-5.00834e-07
11,0,-4.77973e-06,-2.96758e-07
12,0,-8.22713e-06,-9.45977e-08
13,0,-1.22332e-05,9.68558e-08
14,0,-1.67701e-05,2.81662e-07
15,0,-2.18097e-05,4.56219e-07
16,0,-2.73251e-05,6.24468e-07
17,0,-3.32945e-05,7.85942e-07
18,0,-3.96975e-05,9.42271e-07
19,0,-4.65179e-05,1.09421e-06
20,0,-5.37422e-05,1.24329e-06
21,0,-6.13613e-05,1.39027e-06
22,0,-6.93674e-05,1.53601e-06
23,0,-7.77563e-05,1.68122e-06
24,0,-8.65247e-05,1.82641e-06
25,0,-9.56713e-05,1.97187e-06
26,0,-0.000105195,2.11769e-06
27,0,-0.000115094,2.26384e-06
28,0,-0.000125368,2.41004e-06
29,0,-0.000136014,2.55588e-06
30,0,-0.000147029,2.70079e-06
31,0,-0.000158407,2.84407e-06
32,0,-0.000170139,2.98486e-06
33,0,-0.000182217,3.12222e-06
34,0,-0.000194625,3.25508e-06
35,0,-0.000207347,3.38232e-06
36,0,-0.000220363,3.50271e-06
37,0,-0.000233649,3.61497e-06
38,0,-0.000247178,3.71777e-06
39,0,-0.000260917,3.80975e-06
40,0,-0.00027483,3.88951e-06
41,0,-0.000288878,3.95563e-06
42,0,-0.000303017,4.00671e-06
43,0,-0.000317198,4.04134e-06
44,0,-0.000331368,4.05815e-06
45,0,-0.000345472,4.05581e-06
46,0,-0.000359449,4.03302e-06
47,0,-0.000373235,3.9886e-06
48,0,-0.000386762,3.92143e-06
49,0,-0.000399961,3.8305e-06
50,0,-0.000412758,3.71493e-06
51,0,-0.000425077,3.574e-06
52,0,-0.000436842,3.40714e-06
53,0,-0.000447972,3.21397e-06
54,0,-0.000458389,2.99431e-06
55,0,-0.000468013,2.7482e-06
56,0,-0.000476765,2.47593e-06
57,0,-0.000484566,2.17801e-06
58,0,-0.000491341,1.85523e-06
59,0,-0.000497018,1.50866e-06
60,0,-0.000501525,1.13962e-06
61,0,-0.000504799,7.4975e-07
62,0,-0.00050678,3.40936e-07
63,0,-0.000507414,-8.4635e-08
64,0,-0.000506655,-5.24509e-07
65,0,-0.000504464,-9.75972e-07
66,0,-0.000500811,-1.43606e-06
67,0,-0.000495676,-1.9016e-06
68,0,-0.000489047,-2.36919e-06
69,0,-0.000480924,-2.83528e-06
70,0,-0.000471318,-3.29617e-06
71,0,-0.000460249,-3.74807e-06
72,0,-0.000447751,-4.1871e-06
73,0,-0.000433869,-4.6094e-06
74,0,-0.000418659,-5.0111e-06
75,0,-0.000402189,-5.38843e-06
76,0,-0.000384538,-5.73774e-06
77,0,-0.000365796,-6.05554e-06
78,0,-0.000346062,-6.33859e-06
79,0,-0.000325447,-6.58389e-06
80,0,-0.000304066,-6.78878e-06
81,0,-0.000282047,-6.95096e-06
82,0,-0.000259519,-7.0685e-06
83,0,-0.00023662,-7.13993e-06
84,0,-0.00021349,-7.16422e-06
85,0,-0.000190272,-7.14082e-06
86,0,-0.00016711,-7.06969e-06
87,0,-0.000144146,-6.95127e-06
88,0,-0.000121522,-6.78649e-06
89,0,-9.93758e-05,-6.57678e-06
90,0,-7.78398e-05,-6.32402e-06
91,0,-5.70404e-05,-6.03055e-06
92,0,-3.70968e-05,-5.6991e-06
93,0,-1.81191e-05,-5.33277e-06
94,0,-2.07977e-07,-4.93498e-06
95,0,1.65465e-05,-4.50943e-06
96,0,3.20658e-05,-4.06001e-06
97,0,4.62828e-05,-3.59079e-06
98,0,5.91429e-05,-3.1059e-06
99,0,7.06037e-05,-2.60961e-06
100,0,8.06357e-05,-2.10599e-06
101,0,8.92211e-05,-1.5993e-06
102,0,9.63547e-05,-1.09336e-06
103,0,0.000102043,-5.92302e-07
104,0,0.000106303,-9.93984e-08
105,0,0.000109163,3.81282e-07
106,0,0.000110661,8.47278e-07
107,0,0.000110845,1.2944e-06
108,0,0.000109772,1.72137e-06
109,0,0.000107506,2.123e-06
110,0,0.000104122,2.50005e-06
111,0,9.96982e-05,2.84521e-06
112,0,9.4326e-05,3.16222e-06
113,0,8.81029e-05,3.43835e-06
114,0,8.11372e-05,3.68453e-06
115,0,7.35444e-05,3.87776e-06
116,0,6.54579e-05,4.03907e-06
117,0,5.70229e-05,4.1258e-06
118,0,4.84035e-05,4.18802e-06
119,0,3.97731e-05,4.1409e-06
120,0,3.13556e-05,4.07403e-06
121,0,2.33749e-05,3.84575e-06
122,0,1.60907e-05,3.64907e-06
123,0,9.75143e-06,3.1889e-06
124,0,4.74523e-06,2.81225e-06
125,0,1.23609e-06,2.13988e-06
126,0,-5.25058e-07,1.73502e-06
127,0,-6.54368e-07,9.26947e-07
0,1,-9.86908e-07,-2.40095e-06
1,1,-9.67201e-07,-5.73224e-06
2,1,1.04219e-06,-6.54918e-06
3,1,3.59773e-06,-6.51262e-06
4,1,5.72431e-06,-5.8289e-06
5,1,6.87577e-06,-4.94144e-06
6,1,6.64606e-06,-3.64611e-06
7,1,4.80453e-06,-2.29649e-06
8,1,1.23664e-06,-8.59981e-07
9,1,-4.10503e-06,5.7839e-07
10,1,-1.12261e-05,2.02599e-06
11,1,-2.00938e-05,3.41727e-06
12,1,-3.06496e-05,4.76245e-06
13,1,-4.28246e-05,6.04765e-06
14,1,-5.65439e-05,7.27549e-06
15,1,-7.17338e-05,8.44249e-06
16,1,-8.8323e-05,9.55808e-06
17,1,-0.000106248,1.06273e-05
18,1,-0.000125455,1.16579e-05
19,1,-0.000145896,1.2657e-05
20,1,-0.000167535,1.36324e-05
21,1,-0.000190343,1.45906e-05
22,1,-0.000214298,1.55371e-05
23,1,-0.000239387,1.64765e-05
24,1,-0.000265597,1.74121e-05
25,1,-0.000292923,1.83459e-05
26,1,-0.000321358,1.92786e-05
27,1,-0.000350897,2.02098e-05
28,1,-0.000381532,2.11376e-05
29,1,-0.000413253,2.20592e-05
30,1,-0.000446046,2.29706e-05
31,1,-0.00047989,2.38669e-05
32,1,-0.000514757,2.47424e-05
33,1,-0.000550615,2.55906e-05
34,1,-0.000587418,2.64041e-05
35,1,-0.000625114,2.71753e-05
36,1,-0.00066364,2.78957e-05
37,1,-0.000702922,2.85566e-05
38,1,-0.000742875,2.9149e-05
39,1,-0.000783403,2.96635e-05
40,1,-0.000824397,3.00906e-05
41,1,-0.000865737,3.04208e-05
42,1,-0.000907292,3.06444e-05
43,1,-0.000948917,3.07519e-05
44,1,-0.000990456,3.07341e-05
45,1,-0.00103174,3.0582e-05
46,1,-0.0010726,3.02871e-05
47,1,-0.00111284,2.98412e-05
48,1,-0.00115227,2.9237e-05
49,1,-0.00119068,2.84678e-05
50,1,-0.00122786,2.7528e-05
51,1,-0.00126358,2.64128e-05
52,1,-0.00129763,2.51186e-05
53,1,-0.00132978,2.36433e-05
54,1,-0.00135981,2.19858e-05
55,1,-0.00138747,2.01468e-05
56,1,-0.00141255,1.81285e-05
57,1,-0.00143483,1.5935e-05
58,1,-0.00145408,1.35718e-05
59,1,-0.00147012,1.10466e-05
60,1,-0.00148273,8.36874e-06
61,1,-0.00149174,5.54965e-06
62,1,-0.00149699,2.60255e-06
63,1,-0.00149833,-4.57425e-07
64,1,-0.00149562,-3.61331e-06
65,1,-0.00148877,-6.84642e-06
66,1,-0.00147769,-1.01364e-05
67,1,-0.00146234,-1.34615e-05
68,1,-0.00144268,-1.67984e-05
69,1,-0.00141872,-2.0123e-05
70,1,-0.0013905,-2.341e-05
71,1,-0.00135808,-2.66336e-05
72,1,-0.00132157,-2.97676e-05
73,1,-0.00128109,-3.27856e-05
74,1,-0.00123681,-3.56614e-05
75,1,-0.00118893,-3.83697e-05
76,1,-0.00113766,-4.08855e-05
77,1,-0.00108328,-4.31855e-05
78,1,-0.00102607,-4.52475e-05
79,1,-0.000966334,-4.70515e-05
80,1,-0.00090441,-4.85794e-05
81,1,-0.000840655,-4.98156e-05
82,1,-0.000775441,-5.07471e-05
83,1,-0.000709157,-5.13641e-05
84,1,-0.0006422,-5.16594e-05
85,1,-0.000574975,-5.16294e-05
86,1,-0.000507889,-5.12736e-05
87,1,-0.000441349,-5.05948e-05
88,1,-0.000375754,-4.95994e-05
89,1,-0.000311497,-4.82967e-05
90,1,-0.000248955,-4.66994e-05
91,1,-0.000188489,-4.4823e-05
92,1,-0.000130437,-4.26858e-05
93,1,-7.51163e-05,-4.03086e-05
94,1,-2.28157e-05,-3.77143e-05
95,1,2.62052e-05,-3.49276e-05
96,1,7.17179e-05,-3.19748e-05
97,1,0.000113527,-2.88831e-05
98,1,0.000151471,-2.56804e-05
99,1,0.000185425,-2.23953e-05
100,1,0.000215296,-1.90557e-05
101,1,0.000241028,-1.56897e-05
102,1,0.0002626,-1.23242e-05
103,1,0.000280022,-8.98588e-06
104,1,0.000293339,-5.69917e-06
105,1,0.000302624,-2.48876e-06
106,1,0.000307983,6.24052e-07
107,1,0.000309545,3.61639e-06
108,1,0.000307469,6.47049e-06
109,1,0.000301938,9.16352e-06
110,1,0.000293159,1.16819e-05
111,1,0.000281363,1.39999e-05
112,1,0.000266807,1.61075e-05
113,1,0.000249771,1.79696e-05
114,1,0.000230566,1.95846e-05
115,1,0.00020953,2.08964e-05
116,1,0.000187043,2.19122e-05
117,1,0.000163516,2.25415e-05
118,1,0.00013942,2.28271e-05
119,1,0.00011527,2.25963e-05
120,1,9.16655e-05,2.19491e-05
121,1,6.92247e-05,2.06317e-05
122,1,4.86843e-05,1.88987e-05
123,1,3.07957e-05,1.62192e-05
124,1,1.64148e-05,1.32292e-05
125,1,6.12149e-06,9.35606e-06
126,1,4.75234e-07,5.82096e-06
127,1,-7.77549e-07,1.88128e-06
0,2,-8.85647e-07,-3.80392e-06
1,2,-8.36509e-07,-9.71177e-06
2,2,1.13998e-06,-1.20966e-05
3,2,3.75411e-06,-1.18395e-05
