y,ux
0,-0.000506655
1,-0.00149562
2,-0.00243884
3,-0.00334317
4,-0.00422146
5,-0.00508366
6,-0.00593935
7,-0.00679504
8,-0.00765648
9,-0.00852782
10,-0.00941285
11,-0.0103145
12,-0.0112354
13,-0.0121773
14,-0.0131413
15,-0.0141278
16,-0.0151362
17,-0.016165
18,-0.0172117
19,-0.0182727
20,-0.0193435
21,-0.0204188
22,-0.0214921
23,-0.0225565
24,-0.0236041
25,-0.0246266
26,-0.0256151
27,-0.0265607
28,-0.0274542
29,-0.0282867
30,-0.0290496
31,-0.0297349
32,-0.0303351
33,-0.0308438
34,-0.0312558
35,-0.0315668
36,-0.0317742
37,-0.0318765
38,-0.0318737
39,-0.0317672
40,-0.0315598
41,-0.0312555
42,-0.0308592
43,-0.030377
44,-0.0298156
45,-0.0291823
46,-0.0284847
47,-0.0277305
48,-0.0269275
49,-0.0260832
50,-0.0252048
51,-0.024299
52,-0.0233719
53,-0.0224291
54,-0.0214754
55,-0.0205149
56,-0.0195512
57,-0.0185872
58,-0.0176249
59,-0.016666
60,-0.0157117
61,-0.0147626
62,-0.013819
63,-0.0128808
64,-0.0119478
65,-0.0110193
66,-0.0100947
67,-0.00917323
68,-0.00825401
69,-0.00733616
70,-0.0064188
71,-0.00550109
72,-0.00458223
73,-0.00366151
74,-0.00273828
75,-0.00181202
76,-0.000882279
77,5.12581e-05
78,0.000988799
79,0.00193043
80,0.00287612
81,0.00382571
82,0.00477892
83,0.00573534
84,0.00669444
85,0.00765556
86,0.00861794
87,0.00958067
88,0.0105427
89,0.011503
90,0.0124602
91,0.0134131
92,0.0143601
93,0.0152998
94,0.0162306
95,0.0171507
96,0.0180585
97,0.0189522
98,0.0198301
99,0.0206904
100,0.0215316
101,0.022352
102,0.0231505
103,0.0239261
104,0.0246784
105,0.0254078
106,0.0261159
107,0.0268062
108,0.0274844
109,0.02816
110,0.0288472
111,0.0295669
112,0.030348
113,0.0312305
114,0.0322664
115,0.0335226
116,0.0350813
117,0.0370395
118,0.0395065
119,0.0425984
120,0.0464289
121,0.0510954
122,0.0566636
123,0.0631466
124,0.0704874
125,0.0785406
126,0.0870692
127,0.0957468
