x,y,ux,uy
0,0,1.61065e-07,1.07698e-07
1,0,6.55996e-07,8.82061e-09
2,0,1.50649e-06,-1.42245e-07
3,0,2.90464e-06,-3.38284e-07
4,0,4.66703e-06,-4.05284e-07
5,0,6.68431e-06,-4.95292e-07
6,0,8.85667e-06,-5.17787e-07
7,0,1.11081e-05,-5.42325e-07
8,0,1.33557e-05,-5.21038e-07
9,0,1.55441e-05,-4.99929e-07
10,0,1.7627e-05,-4.53943e-07
11,0,1.95685e-05,-4.04957e-07
12,0,2.13384e-05,-3.41824e-07
13,0,2.29157e-05,-2.76747e-07
14,0,2.42836e-05,-2.04121e-07
15,0,2.54302e-05,-1.3012e-07
16,0,2.63467e-05,-5.2488e-08
17,0,2.70277e-05,2.55292e-08
18,0,2.74698e-05,1.04987e-07
19,0,2.76713e-05,1.84206e-07
20,0,2.76319e-05,2.63612e-07
21,0,2.73522e-05,3.42395e-07
22,0,2.68335e-05,4.20792e-07
23,0,2.60774e-05,4.98449e-07
24,0,2.50856e-05,5.75537e-07
25,0,2.38598e-05,6.51966e-07
26,0,2.24016e-05,7.27906e-07
27,0,2.07121e-05,8.03405e-07
28,0,1.87924e-05,8.78638e-07
29,0,1.66428e-05,9.53724e-07
30,0,1.42634e-05,1.02884e-06
31,0,1.16537e-05,1.10414e-06
32,0,8.81268e-06,1.17978e-06
33,0,5.739e-06,1.25591e-06
34,0,2.43078e-06,1.33269e-06
35,0,-1.11426e-06,1.41024e-06
36,0,-4.89877e-06,1.48868e-06
37,0,-8.92573e-06,1.56811e-06
38,0,-1.31984e-05,1.64862e-06
39,0,-1.77202e-05,1.73028e-06
40,0,-2.24949e-05,1.81311e-06
41,0,-2.75262e-05,1.89716e-06
42,0,-3.28177e-05,1.98242e-06
43,0,-3.83734e-05,2.06886e-06
44,0,-4.41967e-05,2.15644e-06
45,0,-5.02913e-05,2.2451e-06
46,0,-5.66602e-05,2.33473e-06
47,0,-6.33064e-05,2.42524e-06
48,0,-7.02325e-05,2.51648e-06
49,0,-7.74405e-05,2.60829e-06
50,0,-8.49321e-05,2.70048e-06
51,0,-9.27081e-05,2.79286e-06
52,0,-0.000100769,2.88519e-06
53,0,-0.000109114,2.97723e-06
54,0,-0.000117743,3.06871e-06
55,0,-0.000126653,3.15933e-06
56,0,-0.000135841,3.24879e-06
57,0,-0.000145304,3.33676e-06
58,0,-0.000155036,3.4229e-06
59,0,-0.000165032,3.50682e-06
60,0,-0.000175285,3.58817e-06
61,0,-0.000185786,3.66653e-06
62,0,-0.000196526,3.7415e-06
63,0,-0.000207495,3.81266e-06
64,0,-0.000218679,3.87957e-06
65,0,-0.000230067,3.94178e-06
66,0,-0.000241642,3.99884e-06
67,0,-0.00025339,4.05029e-06
68,0,-0.000265293,4.09567e-06
69,0,-0.000277332,4.13451e-06
70,0,-0.000289486,4.16635e-06
71,0,-0.000301735,4.19071e-06
72,0,-0.000314055,4.20714e-06
73,0,-0.000326421,4.21519e-06
74,0,-0.000338808,4.2144e-06
75,0,-0.000351189,4.20436e-06
76,0,-0.000363536,4.18465e-06
77,0,-0.000375819,4.15487e-06
78,0,-0.000388006,4.11463e-06
79,0,-0.000400068,4.06361e-06
80,0,-0.00041197,4.00146e-06
81,0,-0.000423679,3.9279e-06
82,0,-0.000435161,3.84267e-06
83,0,-0.000446379,3.74554e-06
84,0,-0.000457299,3.63633e-06
85,0,-0.000467883,3.5149e-06
86,0,-0.000478096,3.38116e-06
87,0,-0.000487899,3.23505e-06
88,0,-0.000497257,3.07657e-06
89,0,-0.000506132,2.90579e-06
90,0,-0.000514486,2.72281e-06
91,0,-0.000522285,2.5278e-06
92,0,-0.000529492,2.32097e-06
93,0,-0.000536073,2.10263e-06
94,0,-0.000541992,1.87311e-06
95,0,-0.000547218,1.63281e-06
96,0,-0.000551719,1.38222e-06
97,0,-0.000555465,1.12187e-06
98,0,-0.000558427,8.52353e-07
99,0,-0.000560578,5.74328e-07
100,0,-0.000561896,2.88519e-07
101,0,-0.000562356,-4.29152e-09
102,0,-0.00056194,-3.03263e-07
103,0,-0.00056063,-6.07499e-07
104,0,-0.000558412,-9.16047e-07
105,0,-0.000555275,-1.2279e-06
106,0,-0.00055121,-1.54202e-06
107,0,-0.000546212,-1.85731e-06
108,0,-0.000540279,-2.17263e-06
109,0,-0.000533413,-2.48682e-06
110,0,-0.000525618,-2.79869e-06
111,0,-0.000516904,-3.10702e-06
112,0,-0.000507283,-3.41057e-06
113,0,-0.000496772,-3.7081e-06
114,0,-0.000485389,-3.99838e-06
115,0,-0.000473158,-4.28015e-06
116,0,-0.000460107,-4.55219e-06
117,0,-0.000446267,-4.81329e-06
118,0,-0.000431672,-5.06227e-06
119,0,-0.000416359,-5.29799e-06
120,0,-0.000400371,-5.51935e-06
121,0,-0.000383752,-5.72529e-06
122,0,-0.000366549,-5.91484e-06
123,0,-0.000348812,-6.08708e-06
124,0,-0.000330596,-6.24116e-06
125,0,-0.000311954,-6.37633e-06
126,0,-0.000292945,-6.49191e-06
127,0,-0.000273627,-6.58734e-06
128,0,-0.000254063,-6.66214e-06
129,0,-0.000234314,-6.71594e-06
130,0,-0.000214443,-6.7485e-06
131,0,-0.000194513,-6.75967e-06
132,0,-0.00017459,-6.74943e-06
133,0,-0.000154737,-6.71788e-06
134,0,-0.000135016,-6.66522e-06
135,0,-0.000115492,-6.59178e-06
136,0,-9.62238e-05,-6.49802e-06
137,0,-7.7273e-05,-6.38449e-06
138,0,-5.86971e-05,-6.25186e-06
139,0,-4.05521e-05,-6.10091e-06
140,0,-2.28913e-05,-5.93252e-06
141,0,-5.76536e-06,-5.74764e-06
142,0,1.07781e-05,-5.54734e-06
143,0,2.66946e-05,-5.33273e-06
144,0,4.19435e-05,-5.10503e-06
145,0,5.64874e-05,-4.86548e-06
146,0,7.02931e-05,-4.6154e-06
147,0,8.33311e-05,-4.35611e-06
148,0,9.55761e-05,-4.089e-06
149,0,0.000107007,-3.81544e-06
150,0,0.000117606,-3.53683e-06
151,0,0.000127361,-3.25454e-06
152,0,0.000136263,-2.96995e-06
153,0,0.000144308,-2.68439e-06
154,0,0.000151493,-2.39918e-06
155,0,0.000157823,-2.11555e-06
156,0,0.000163304,-1.83472e-06
157,0,0.000167946,-1.55782e-06
158,0,0.000171763,-1.28593e-06
159,0,0.000174771,-1.02003e-06
160,0,0.00017699,-7.61037e-07
161,0,0.000178441,-5.09785e-07
162,0,0.00017915,-2.67011e-07
163,0,0.000179142,-3.33689e-08
164,0,0.000178445,1.90581e-07
165,0,0.00017709,4.04361e-07
166,0,0.000175108,6.07587e-07
167,0,0.00017253,7.99944e-07
168,0,0.00016939,9.81217e-07
169,0,0.000165722,1.15123e-06
170,0,0.000161558,1.30991e-06
171,0,0.000156933,1.45719e-06
172,0,0.000151882,1.59312e-06
173,0,0.000146438,1.71765e-06
174,0,0.000140635,1.83094e-06
175,0,0.000134508,1.93289e-06
176,0,0.000128089,2.02374e-06
177,0,0.000121414,2.10318e-06
178,0,0.000114515,2.17157e-06
179,0,0.000107426,2.22815e-06
180,0,0.000100184,2.27351e-06
181,0,9.28226e-05,2.3061e-06
182,0,8.53802e-05,2.32696e-06
183,0,7.78956e-05,2.33308e-06
184,0,7.04108e-05,2.32674e-06
185,0,6.29705e-05,2.30226e-06
186,0,5.56242e-05,2.26423e-06
187,0,4.84251e-05,2.20257e-06
188,0,4.14336e-05,2.12706e-06
189,0,3.47137e-05,2.01904e-06
190,0,2.83421e-05,1.89748e-06
191,0,2.2395e-05,1.73194e-06
192,0,1.69651e-05,1.55802e-06
193,0,1.21406e-05,1.32073e-06
194,0,8.03856e-06,1.08508e-06
195,0,4.72527e-06,7.83533e-07
196,0,2.30931e-06,5.01343e-07
197,0,8.14888e-07,1.48195e-07
198,0,2.99557e-07,-1.35772e-07
199,0,1.30416e-07,-8.14405e-08
0,1,4.31489e-07,-1.57311e-07
1,1,1.95484e-06,-9.27051e-07
2,1,4.56539e-06,-1.87742e-06
3,1,8.38185e-06,-2.94454e-06
4,1,1.31845e-05,-3.58229e-06
5,1,1.86922e-05,-4.07645e-06
6,1,2.46176e-05,-4.30449e-06
7,1,3.0734e-05,-4.40029e-06
8,1,3.68359e-05,-4.31002e-06
9,1,4.27654e-05,-4.12846e-06
10,1,4.83878e-05,-3.83628e-06
11,1,5.36006e-05,-3.48142e-06
12,1,5.832e-05,-3.06017e-06
13,1,6.24834e-05,-2.60146e-06
14,1,6.6041e-05,-2.10566e-06
15,1,6.8957e-05,-1.58892e-06
16,1,7.12051e-05,-1.05374e-06
17,1,7.27675e-05,-5.09461e-07
18,1,7.36326e-05,4.18468e-08
19,1,7.3794e-05,5.94976e-07
20,1,7.32492e-05,1.1485e-06
21,1,7.19984e-05,1.6998e-06
22,1,7.00437e-05,2.24833e-06
23,1,6.73883e-05,2.79309e-06
24,1,6.40362e-05,3.33418e-06
25,1,5.99909e-05,3.87165e-06
26,1,5.52559e-05,4.40612e-06
27,1,4.9834e-05,4.93821e-06
28,1,4.37269e-05,5.46886e-06
29,1,3.69353e-05,5.999e-06
30,1,2.94585e-05,6.52969e-06
31,1,2.12948e-05,7.062e-06
32,1,1.24411e-05,7.59698e-06
33,1,2.89303e-06,8.13565e-06
34,1,-7.35501e-06,8.67897e-06
35,1,-1.83096e-05,9.22782e-06
36,1,-2.99785e-05,9.78298e-06
37,1,-4.23701e-05,1.03451e-05
38,1,-5.54937e-05,1.09148e-05
39,1,-6.93591e-05,1.14924e-05
40,1,-8.39763e-05,1.20782e-05
41,1,-9.93557e-05,1.26723e-05
42,1,-0.000115508,1.32748e-05
43,1,-0.000132442,1.38853e-05
44,1,-0.000150169,1.45036e-05
45,1,-0.000168698,1.51292e-05
46,1,-0.000188037,1.57613e-05
47,1,-0.000208193,1.63993e-05
48,1,-0.000229173,1.7042e-05
49,1,-0.000250981,1.76884e-05
50,1,-0.00027362,1.83372e-05
51,1,-0.000297093,1.89868e-05
52,1,-0.000321398,1.96358e-05
53,1,-0.000346533,2.02823e-05
54,1,-0.000372492,2.09245e-05
55,1,-0.000399268,2.15604e-05
56,1,-0.000426851,2.21877e-05
57,1,-0.000455227,2.28041e-05
58,1,-0.00048438,2.34074e-05
59,1,-0.000514291,2.39948e-05
60,1,-0.000544937,2.45637e-05
61,1,-0.000576292,2.51115e-05
62,1,-0.000608326,2.56352e-05
63,1,-0.000641006,2.61319e-05
64,1,-0.000674294,2.65986e-05
65,1,-0.00070815,2.70323e-05
66,1,-0.000742528,2.74297e-05
67,1,-0.00077738,2.77877e-05
68,1,-0.000812652,2.81032e-05
69,1,-0.000848288,2.83728e-05
70,1,-0.000884226,2.85935e-05
71,1,-0.000920402,2.8762e-05
72,1,-0.000956746,2.88752e-05
73,1,-0.000993186,2.893e-05
74,1,-0.00102965,2.89234e-05
75,1,-0.00106604,2.88524e-05
76,1,-0.0011023,2.87142e-05
77,1,-0.00113832,2.85062e-05
78,1,-0.00117401,2.82259e-05
79,1,-0.0012093,2.78708e-05
80,1,-0.00124407,2.74388e-05
81,1,-0.00127822,2.69281e-05
82,1,-0.00131167,2.63368e-05
83,1,-0.0013443,2.56635e-05
84,1,-0.00137602,2.4907e-05
85,1,-0.00140671,2.40665e-05
86,1,-0.00143627,2.31413e-05
87,1,-0.0014646,2.21313e-05
88,1,-0.00149158,2.10365e-05
89,1,-0.00151712,1.98574e-05
90,1,-0.0015411,1.85948e-05
91,1,-0.00156342,1.725e-05
92,1,-0.00158399,1.58245e-05
93,1,-0.0016027,1.43206e-05
94,1,-0.00161946,1.27405e-05
95,1,-0.00163417,1.10871e-05
96,1,-0.00164674,9.36387e-06
97,1,-0.0016571,7.57441e-06
98,1,-0.00166516,5.72293e-06
99,1,-0.00167085,3.81398e-06
100,1,-0.0016741,1.85258e-06
101,1,-0.00167486,-1.55888e-07
102,1,-0.00167306,-2.20562e-06
103,1,-0.00166866,-4.29044e-06
104,1,-0.00166163,-6.40382e-06
105,1,-0.00165192,-8.53889e-06
106,1,-0.00163954,-1.06885e-05
107,1,-0.00162445,-1.28451e-05
108,1,-0.00160666,-1.5001e-05
109,1,-0.00158618,-1.71483e-05
110,1,-0.00156302,-1.92787e-05
111,1,-0.00153721,-2.13842e-05
112,1,-0.00150879,-2.34562e-05
113,1,-0.00147781,-2.54863e-05
114,1,-0.00144433,-2.7466e-05
115,1,-0.00140842,-2.93871e-05
116,1,-0.00137015,-3.1241e-05
117,1,-0.00132961,-3.30197e-05
118,1,-0.00128691,-3.47151e-05
119,1,-0.00124216,-3.63196e-05
120,1,-0.00119547,-3.78257e-05
121,1,-0.00114698,-3.92263e-05
122,1,-0.00109681,-4.05147e-05
123,1,-0.00104512,-4.16848e-05
124,1,-0.000992047,-4.27308e-05
125,1,-0.00093776,-4.36478e-05
126,1,-0.000882419,-4.4431e-05
127,1,-0.000826193,-4.50768e-05
128,1,-0.000769257,-4.55818e-05
129,1,-0.000711787,-4.59437e-05
130,1,-0.000653963,-4.61607e-05
131,1,-0.000595966,-4.6232e-05
132,1,-0.000537978,-4.61572e-05
133,1,-0.00048018,-4.59371e-05
134,1,-0.000422753,-4.55732e-05
135,1,-0.000365875,-4.50675e-05
136,1,-0.00030972,-4.44232e-05
137,1,-0.000254461,-4.36441e-05
138,1,-0.000200261,-4.27346e-05
139,1,-0.000147282,-4.17e-05
140,1,-9.56749e-05,-4.05462e-05
141,1,-4.55861e-05,-3.92797e-05
142,1,2.84795e-06,-3.79076e-05
143,1,4.94995e-05,-3.64377e-05
144,1,9.42505e-05,-3.48779e-05
145,1,0.000136993,-3.32368e-05
146,1,0.00017763,-3.15233e-05
147,1,0.000216076,-2.97463e-05
148,1,0.000252256,-2.79153e-05
149,1,0.000286106,-2.60395e-05
150,1,0.000317575,-2.41284e-05
151,1,0.000346624,-2.21915e-05
152,1,0.000373225,-2.0238e-05
153,1,0.00039736,-1.8277e-05
154,1,0.000419024,-1.63174e-05
155,1,0.000438223,-1.43679e-05
156,1,0.000454972,-1.24365e-05
157,1,0.000469298,-1.0531e-05
158,1,0.000481236,-8.65891e-06
159,1,0.000490831,-6.82691e-06
160,1,0.000498135,-5.04132e-06
161,1,0.000503208,-3.30784e-06
162,1,0.000506118,-1.63161e-06
163,1,0.000506939,-1.7163e-08
164,1,0.000505748,1.53158e-06
165,1,0.00050263,3.01128e-06
166,1,0.000497672,4.41918e-06
167,1,0.000490965,5.75306e-06
168,1,0.000482603,7.01127e-06
169,1,0.00047268,8.19258e-06
170,1,0.000461294,9.29624e-06
171,1,0.000448543,1.03218e-05
172,1,0.000434525,1.12692e-05
173,1,0.000419339,1.21384e-05
174,1,0.000403084,1.29297e-05
175,1,0.000385858,1.36431e-05
176,1,0.000367759,1.42789e-05
177,1,0.000348888,1.48365e-05
178,1,0.000329342,1.5316e-05
179,1,0.000309225,1.57152e-05
180,1,0.000288637,1.60335e-05
181,1,0.000267686,1.62664e-05
182,1,0.00024648,1.64124e-05
183,1,0.000225137,1.64631e-05
184,1,0.000203778,1.64167e-05
185,1,0.000182535,1.62583e-05
